ydgdp,cs_index_ret,cs_index_vol,savgnatshock,savgpolshock,savgrevshock,savgtershock,countrycode,timecode
1.998246,1.104299,-.112238,.1069068,0,0,0,1,69
2.597614,1.22473,-.1463825,.1069068,0,0,0,1,70
3.817173,1.219674,-.0292797,.1069068,0,0,0,1,71
4.777638,1.716998,-.1353596,0,0,0,0,1,72
5.51216,-.7037771,1.01025,0,0,0,0,1,73
5.495043,-1.008224,1.118666,0,0,0,0,1,74
4.93679,-.8294243,1.02153,0,0,0,0,1,75
4.164844,-1.675568,1.011842,0,0,0,0,1,76
3.658124,-.0122422,-.207182,0,0,0,0,1,77
3.844769,-.2806656,-.5254484,0,0,0,0,1,78
4.153345,-.6494831,-.4544752,0,0,0,0,1,79
4.359864,-.1866786,-.3460089,.2556568,0,0,0,1,80
4.333727,-.3510408,.0491821,.8015422,0,0,0,1,81
3.523274,-.6625915,.1604745,.8015422,0,0,0,1,82
2.38236,-.8001568,.2699175,.8015422,0,0,0,1,83
1.660188,-1.432462,.3699325,.5458854,0,0,0,1,84
.505542,-1.538202,.3715503,0,0,0,0,1,85
-.3515318,-.7651412,.5243122,0,0,0,0,1,86
-.5665621,-.3836095,.4412641,0,0,0,0,1,87
-1.105241,.1062717,.3227671,0,0,0,0,1,88
-.5065045,.812388,.0998014,0,0,0,0,1,89
.4273247,.3543225,-.2251782,0,0,0,0,1,90
1.283894,.2825443,-.4122047,0,0,0,0,1,91
2.696702,-.2195228,-.5347161,.0315625,0,0,0,1,92
3.48989,-.3977887,-.5895635,.0315625,0,0,0,1,93
4.028576,.0569689,-.5518748,.0315625,0,0,0,1,94
4.158806,.2831743,-.4792018,.0315625,0,0,0,1,95
3.90102,.9813945,-.4946965,0,0,0,0,1,96
3.865116,1.311367,-.4968326,.014836,0,0,0,1,97
3.968541,.8770737,-.34359,.108776,0,0,0,1,98
4.554099,.4480558,-.4066592,.108776,0,0,0,1,99
4.736477,.0788101,-.4459738,.108776,0,0,0,1,100
4.399737,-.651059,-.4538735,.16815,0,0,0,1,101
3.912146,-.7353488,-.6195108,.0742101,0,0,0,1,102
3.336327,-.4641298,-.6636926,.0742101,0,0,0,1,103
3.171952,-.2761335,-.6593162,.0742101,0,0,0,1,104
3.606725,.1050931,-.7744696,0,0,0,0,1,105
3.91602,.3929671,-.6860361,0,0,0,0,1,106
3.992778,.3678696,-.6797534,0,0,0,0,1,107
4.127862,.1670691,-.5735956,0,0,0,0,1,108
3.566194,.3805761,-.3334135,0,0,0,0,1,109
3.826423,.2748402,-.5104619,0,0,0,0,1,110
3.840793,.4301657,-.487589,.066822,0,0,0,1,111
3.995999,.3461155,-.4491077,.066822,0,0,0,1,112
4.788621,-.3107363,-.0932974,.2740449,0,0,0,1,113
4.424676,-.2223937,.0551202,.2740449,0,0,0,1,114
4.786605,-.7683538,.1730999,.2072229,0,0,0,1,115
4.906539,-.8305144,.2762684,.2072229,0,0,0,1,116
4.643299,-.1985657,-.0401859,0,0,0,0,1,117
4.835661,-.1251157,-.0360965,0,0,0,0,1,118
4.414948,.1759864,-.046702,0,0,0,0,1,119
3.979535,.3526665,-.14542,0,0,0,0,1,120
3.832367,.3942705,-.113467,.019595,0,0,0,1,121
3.77401,.3291183,.1515615,.0322316,0,0,0,1,122
3.701659,.0757086,.5186602,.0322316,0,0,0,1,123
3.138711,-.0486932,.4789581,.0322316,0,0,0,1,124
2.530134,-.5022515,.4731776,.0126366,0,0,0,1,125
1.881567,-.8314208,.2433304,0,0,0,0,1,126
1.723548,-.4370646,-.1624978,0,0,0,0,1,127
2.505268,-.9204305,.1323337,.2358089,0,0,0,1,128
3.081226,-.3072538,.0905657,.2358089,0,0,0,1,129
3.838489,-.0268019,.0800186,.27193,0,0,0,1,130
4.158456,-.5002053,.0322234,.27193,0,0,0,1,131
3.975544,-.2118428,-.2066302,.0361211,0,0,0,1,132
3.682489,-.676855,-.1661381,.0361211,0,0,0,1,133
3.10219,-.9826071,-.0693311,0,0,0,0,1,134
2.898082,-.5275297,-.0024387,0,0,0,0,1,135
3.009036,.3360485,-.0295087,0,0,0,0,1,136
3.520392,.5009677,-.189164,0,0,0,0,1,137
4.063936,.8334147,-.5065358,0,0,0,0,1,138
4.261576,.5940851,-.7254318,0,0,0,0,1,139
4.008167,.1696509,-.9527638,0,0,0,0,1,140
3.546475,.344173,-.986356,0,0,0,0,1,141
3.137063,.2174434,-.9258859,0,0,0,0,1,142
3.013449,.191688,-.7196754,0,0,0,0,1,143
3.061863,.3613581,-.5792831,0,0,0,0,1,144
3.069668,.0637433,-.4076341,.2622507,0,0,0,1,145
2.997368,.3794892,-.2317294,.2622507,0,0,0,1,146
2.683791,.3374395,-.0427161,.2622507,0,0,0,1,147
2.686779,.0818492,.0701452,.2622507,0,0,0,1,148
3.095015,.5001377,.0938656,.0070262,0,0,0,1,149
3.718008,.377924,.1515027,.0070262,0,0,0,1,150
4.385168,.7922159,.1253177,.0070262,0,0,0,1,151
4.528078,.6461154,.3390495,.0070262,0,0,0,1,152
4.22565,.090276,.4497106,0,0,0,0,1,153
3.699563,-.955833,.8571498,0,0,0,0,1,154
3.205677,-1.312241,1.018561,0,0,0,0,1,155
2.637513,-2.06317,1.25528,0,0,0,0,1,156
2.121342,-3.175527,1.858971,0,0,0,0,1,157
1.6348,-2.424547,1.832479,0,0,0,0,1,158
1.161548,-1.768918,1.903484,0,0,0,0,1,159
1.405736,-.2030824,1.786268,0,0,0,0,1,160
1.614034,1.087377,1.191667,0,0,0,0,1,161
2.066085,1.1344,.897597,0,0,0,0,1,162
2.517725,.0490685,.7260391,0,0,0,0,1,163
2.592403,-.3510013,.597581,0,0,0,0,1,164
2.511854,-.1343676,.4853054,0,0,0,0,1,165
