="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="p50",="sd",="min",="max"
="ydgdp",="10278",="3.440374",="3.432847",="7.128906",="-138.0196",="60.97647"
="cs_index_ret",="4745",=".0042665",=".0529644",="1.420674",="-7.378717",="7.060314"
="cs_index_vol",="4734",="-.0036786",=".0418936",="1.666486",="-8.592145",="4.906365"
="avgret",="7472",=".0085725",=".0118478",=".0748183",="-.452329",=".4450263"
="lavgvol",="7471",="-4.519919",="-4.545507",=".4886944",="-6.048811",="-2.591173"
="avgcs_ret",="4978",=".0009112",="-.0017638",=".0863243",="-.3530242",=".9453692"
="lavgcs_vol",="4938",="-1.552751",="-1.543117",=".3540947",="-3.889759",="-.3623828"
="ynatshock",="10278",=".237303",="0",=".5936823",="0",="4"
="ysavgnatshock",="10278",=".1341413",="0",=".5230145",="0",="7.979591"
="ypolshock",="10278",=".0094376",="0",=".0966927",="0",="1"
="ysavgpolshock",="10278",=".0264656",="0",=".3862182",="0",="14.06919"
="yrevshock",="10278",=".0077836",="0",=".0878851",="0",="1"
="ysavgrevshock",="10278",=".0027768",="0",=".0594277",="0",="2.471872"
="ytershock",="10278",=".0183888",="0",=".1582982",="0",="3"
="ysavgtershock",="10278",=".0077218",="0",=".1197443",="0",="4.115562"
="GDPPerCap",="10278",="23946.22",="24643",="16605.77",="1335",="78559"
="N",="10278",="",="",="",="",=""
